Open,High,Low,Close
10.355,10.42,10.335,10.4
10.435,10.475,10.395,10.41
10.405,10.475,10.385,10.45
10.39,10.45,10.3,10.435
10.5,10.52,10.455,10.495
10.49,10.57,10.465,10.54
10.25,10.39,10.145,10.25
10.295,10.375,10.225,10.245
10.245,10.285,10.205,10.25
10.3,10.365,10.18,10.19
10.215,10.215,10.09,10.15
10.325,10.39,10.26,10.27
10.35,10.355,10.305,10.325
10.22,10.265,10.16,10.175
10.18,10.255,10.135,10.23
10.31,10.4,10.3,10.385
10.43,10.46,10.28,10.38
10.19,10.38,10.17,10.355
10.295,10.405,10.285,10.4
10.39,10.535,10.365,10.425
10.38,10.48,10.3,10.35
10.36,10.555,10.35,10.485
10.57,10.65,10.53,10.55
10.6,10.64,10.47,10.61
10.52,10.54,10.27,10.32
10.21,10.29,10.2,10.25
10.18,10.18,10.08,10.14
10.2,10.23,9.99,10.01
10.08,10.1,9.97,10.07
10.04,10.04,9.89,9.93
10.04,10.07,9.93,9.95
10.06,10.19,10.03,10.15
10.06,10.2,10.03,10.06
10.1,10.2,10.07,10.1
10.22,10.25,10.12,10.17
10.34,10.39,10.3,10.37
10.32,10.32,10.2,10.27
10.12,10.15,10.01,10.04
9.81,10.02,9.8,10
10.02,10.19,10.01,10.17
9.97,10.07,9.92,10.03
9.97,10.04,9.93,10.02
9.81,9.84,9.63,9.74
9.53,9.68,9.46,9.52
9.65,9.76,9.57,9.74
9.85,9.96,9.79,9.91
9.95,10.52,9.91,10.22
10.06,10.06,9.74,9.8
9.78,9.78,9.35,9.54
9.6,9.76,9.54,9.58
9.57,9.58,9.4,9.48
9.24,9.42,9.22,9.4
9.3,9.37,9.05,9.06
9.08,9.2,9.05,9.11
8.99,9.05,8.85,9.02
9.08,9.1,8.88,8.97
9.16,9.32,9.1,9.19
9.45,9.54,9.41,9.47
9.39,9.4,9.21,9.3
9.34,9.41,9.23,9.25
9.29,9.47,9.29,9.4
9.44,9.55,9.39,9.48
9.62,9.69,9.58,9.61
9.61,9.65,9.46,9.51
9.41,9.5,9.37,9.49
9.42,9.47,9.27,9.34
9.37,9.46,9.33,9.4
9.41,9.44,9.16,9.25
9.27,9.37,9.16,9.33
9.28,9.37,9.25,9.33
9.33,9.33,9.21,9.29
9.18,9.19,9.05,9.09
8.99,9.1,8.95,9.07
9.05,9.16,9.05,9.09
9.07,9.21,9.06,9.18
9.25,9.31,9.19,9.27
9.63,9.89,9.56,9.86
9.79,9.8,9.66,9.68
9.8,9.86,9.75,9.86
9.91,9.94,9.86,9.9
9.94,10.05,9.83,9.85
9.77,9.86,9.71,9.83
9.83,9.97,9.65,9.69
9.55,9.59,9.43,9.57
9.65,9.77,9.62,9.69
9.77,9.82,9.66,9.66
9.93,9.98,9.85,9.87
9.99,10.01,9.87,9.89
9.82,9.83,9.54,9.6
9.68,9.72,9.5,9.54
9.49,9.58,9.38,9.43
9.51,9.54,9.14,9.28
9.21,9.31,9.1,9.1
9.19,9.24,9.07,9.08
9.15,9.38,9.12,9.38
9.3,9.45,9.28,9.45
9.48,9.5,9.38,9.43
9.47,9.53,9.39,9.52
9.5,9.73,9.47,9.61
9.55,9.59,9.47,9.47
9.52,9.72,9.5,9.63
9.7,9.81,9.66,9.71
9.82,9.85,9.72,9.75
9.76,9.89,9.74,9.87
9.78,9.89,9.7,9.88
10.18,10.68,10.12,10.41
10.18,10.41,10.13,10.37
10.57,10.58,10.46,10.49
10.57,10.64,10.55,10.61
10.54,10.63,10.5,10.58
10.6,10.69,10.58,10.67
10.64,10.68,10.47,10.53
10.56,10.56,10.43,10.53
10.53,10.55,10.43,10.43
10.51,10.58,10.41,10.55
10.49,10.57,10.44,10.52
10.49,10.53,10.42,10.48
10.46,10.63,10.42,10.59
10.68,10.82,10.68,10.8
10.85,10.93,10.81,10.9
10.83,10.88,10.79,10.87
10.85,10.92,10.83,10.84
10.91,10.94,10.85,10.9
10.86,10.93,10.8,10.85
10.83,10.89,10.81,10.86
10.86,10.89,10.79,10.82
10.85,10.86,10.76,10.77
10.85,10.87,10.77,10.8
10.65,10.76,10.62,10.76
10.68,10.78,10.64,10.76
10.47,10.57,10.38,10.55
10.62,10.73,10.62,10.7
10.6,10.62,10.49,10.55
10.56,10.68,10.55,10.63
10.83,10.92,10.78,10.81
10.7,10.76,10.62,10.73
10.61,10.73,10.57,10.7
10.69,10.77,10.65,10.72
10.79,10.87,10.74,10.84
10.85,10.87,10.66,10.72
10.72,10.8,10.65,10.77
10.7,10.75,10.68,10.71
10.65,10.71,10.48,10.49
10.41,10.48,10.36,10.47
10.48,10.57,10.46,10.55
10.53,10.55,10.46,10.52
10.53,10.6,10.48,10.55
