Open,High,Low,Close
313.149994,314.100006,310.75,311.200012
313,313.450012,305.299988,306.25
306.25,309.399994,304.5,308.549988
308.549988,311.5,308.549988,310.549988
311.700012,313.25,311,312.549988
313,316,312.600006,315.649994
316.149994,316.149994,311.200012,312
311.200012,317,311,314.399994
312.950012,316,312.100006,315.899994
315.75,319.450012,313.049988,314.100006
315.450012,316.399994,311.600006,312.350006
314.75,315.399994,312,312.899994
310,314.950012,308.850006,313.549988
314.25,321.399994,314.25,320.5
319.5,321.899994,316,317.600006
318.700012,324.25,318.049988,323.149994
325,329.600006,323.75,328.850006
330,330,326.399994,327.149994
326,328.299988,325.25,326.100006
329,330.600006,327.5,329.899994
330.600006,333.299988,330,330.5
332,332.399994,330,330.899994
331.700012,335,330.600006,334.399994
331,339,330.950012,335.350006
336.399994,337.049988,332.899994,334.100006
332.350006,334.600006,329.700012,331.299988
329.100006,336.899994,329.100006,335.600006
338.75,339.600006,335,336
336,345.200012,335.5,340.950012
341,348.75,340.899994,345.049988
347.5,349.549988,343.299988,346.399994
344.850006,345.950012,331.75,332.600006
335,339.549988,334,334.850006
331.950012,333.299988,324.299988,324.950012
329,334.899994,327.75,333.049988
333.049988,335.75,330.149994,332.200012
332.899994,333,323.25,324.399994
328.700012,334,328,332.850006
335,339.299988,332.549988,336.649994
336.799988,336.850006,331.299988,334.100006
330,331.450012,326.049988,327.850006
329,330.450012,325.100006,326.299988
327.950012,331.450012,324.75,330.100006
329.950012,331.299988,328,328.649994
332.299988,333.899994,330.850006,332.100006
331.100006,334.75,329.600006,332.25
333.950012,341,333.549988,340.299988
343.100006,347.450012,339.799988,346.350006
347,350.950012,344.799988,349.700012
353.200012,353.200012,344.5,345.600006
348.950012,349.700012,347,347.700012
349.450012,349.5,343.649994,346.299988
346.649994,348.350006,343.850006,345.799988
347.549988,348.600006,345.100006,345.799988
348,350.5,344.75,348.700012
349.25,350.5,347.200012,349.5
348.5,356.25,348.5,354.649994
354,358.5,353,353.700012
354,356,352.5,353.600006
355,356.350006,350,353.5
