Open,High,Low,Close
3385,3385,3335,3354.25
3400,3428.699951,3375.050049,3422.5
3419,3419,3381.25,3401.550049
3411,3414.850098,3387.5,3392.699951
3385.100098,3417.949951,3371.100098,3401.100098
3390,3392,3362,3381.25
3387,3421.5,3371.25,3385.75
3365,3384.100098,3347.399902,3354.550049
3319.949951,3341.899902,3270,3284.600098
3292,3308,3250.199951,3255.350098
3276,3278.149902,3214.75,3218.199951
3234.300049,3257,3216.800049,3222.199951
3125,3142.699951,3081,3132.550049
3155,3226.5,3142.100098,3211.149902
3190,3190,3121,3131.699951
3163,3163,3120.300049,3130.399902
3123.649902,3147.949951,3112.25,3133.399902
3135.5,3140.850098,3106.350098,3127.050049
3102,3161.899902,3102,3149.600098
3170,3183.5,3160.100098,3169.649902
3195,3233.5,3168.5,3217.649902
3239.899902,3269.800049,3225,3242.949951
3263.449951,3263.449951,3225,3229.350098
3135,3141.399902,3113.800049,3120.399902
3130,3137.75,3100,3104.350098
3076,3094.350098,3000,3008.699951
3036,3042,2987.800049,3028.800049
3050,3079.949951,3030,3040.300049
3028,3041.399902,2998.149902,3001.199951
2990,3029.949951,2979.300049,3007.399902
3004,3022.5,2979,2982.050049
2959.850098,3025.850098,2926.100098,2994.399902
3009.399902,3025,2976,3017.449951
2980,3049.949951,2980,3035.649902
3054,3055.850098,2990,2997.300049
2990.850098,3019.699951,2950.100098,3004.550049
2995,3020.699951,2974,2984.949951
3029.949951,3098,3023,3091.149902
3111,3124,3092.449951,3101.949951
3097.399902,3105,3058.100098,3064.899902
3010,3127,3005,3118.550049
3100,3145,3053.350098,3069.550049
3084.899902,3109.899902,3062.050049,3100.75
3100.75,3110,3052.350098,3103.300049
3145,3150,3071,3099.149902
3072.649902,3128.399902,3071.449951,3111.75
3150,3155.350098,3128.550049,3144.699951
3159,3159,3112,3121.850098
3105,3160,3105,3157.300049
3157.800049,3160.399902,3127,3137.399902
3170.100098,3178,3155,3161.699951
3180.5,3184.25,3151.149902,3162.100098
3160.699951,3174,3134.350098,3157.399902
3150,3178.5,3145,3163.25
3199,3199,3177.800049,3193.149902
3214.5,3262.600098,3203.449951,3259.699951
3270,3270,3222.050049,3241.699951
3228.050049,3228.050049,3195,3206.75
3217,3220.050049,3166.149902,3217.399902
3229,3242.800049,3195.100098,3233.699951
3249.800049,3249.800049,3201.649902,3216.050049
3170,3225,3170,3205.649902
3269.600098,3341.600098,3255.050049,3315.949951
3324,3349,3309,3335.5
3321,3339.949951,3292,3332.600098
3338.899902,3367.899902,3321.449951,3355.350098
3340,3360,3317.75,3349
3350,3362.75,3321,3343.449951
3322.5,3333.699951,3273,3283.5
3280,3318.949951,3255.25,3314.949951
3330,3330,3291,3308.300049
3316.25,3392.949951,3308.300049,3380.149902
3383,3403.350098,3348,3389.649902
3366,3417,3365.550049,3395.25
3383,3429,3383,3397.350098
3383,3414.899902,3375,3390.800049
3425,3480,3420,3475.649902
3458.100098,3468.899902,3413,3439.149902
3433,3439.149902,3407,3425.899902
3400.050049,3407.949951,3368,3385.350098
3368.300049,3393.699951,3354,3380.600098
3360,3380.600098,3339.449951,3350.550049
3374.100098,3374.100098,3276.350098,3292.75
3255.5,3296,3236.100098,3286.449951
